Unnamed: 0,Protein,idx
12179,ENSP00000365686,12179
13861,ENSP00000353483,13861
6783,ENSP00000320147,6783
6743,ENSP00000319635,6743
11549,ENSP00000362183,11549
5772,ENSP00000307423,5772
10902,ENSP00000359119,10902
14068,ENSP00000297469,14068
11196,ENSP00000360519,11196
3706,ENSP00000277120,3706
3759,ENSP00000278742,3759
11201,ENSP00000360538,11201
1261,ENSP00000242057,1261
6172,ENSP00000311713,6172
4278,ENSP00000289753,4278
4202,ENSP00000287907,4202
17712,ENSP00000450353,17712
1550,ENSP00000249373,1550
17632,ENSP00000447149,17632
11624,ENSP00000362525,11624
2916,ENSP00000264637,2916
7635,ENSP00000330484,7635
1028,ENSP00000233027,1028
2778,ENSP00000263826,2778
6221,ENSP00000312286,6221
4629,ENSP00000295683,4629
825,ENSP00000226413,825
16074,ENSP00000412673,16074
13183,ENSP00000372750,13183
13185,ENSP00000372857,13185
6372,ENSP00000314223,6372
8155,ENSP00000336528,8155
1144,ENSP00000237596,1144
185,ENSP00000178638,185
5756,ENSP00000307259,5756
3987,ENSP00000283249,3987
2612,ENSP00000262891,2612
6709,ENSP00000319169,6709
11766,ENSP00000363229,11766
3420,ENSP00000270861,3420
1544,ENSP00000249284,1544
11387,ENSP00000361548,11387
677,ENSP00000222330,677
3194,ENSP00000267082,3194
4865,ENSP00000297512,4865
17204,ENSP00000436714,17204
432,ENSP00000216629,432
9201,ENSP00000347754,9201
16529,ENSP00000295962,16529
18220,ENSP00000466933,18220
11690,ENSP00000362795,11690
2400,ENSP00000261772,2400
9469,ENSP00000350256,9469
13411,ENSP00000375892,13411
10256,ENSP00000356094,10256
16930,ENSP00000390500,16930
8790,ENSP00000343552,8790
12749,ENSP00000265741,12749
16984,ENSP00000430505,16984
13332,ENSP00000375066,13332
18680,ENSP00000362401,18680
10534,ENSP00000354856,10534
5434,ENSP00000303686,5434
10724,ENSP00000358223,10724
15346,ENSP00000396308,15346
8989,ENSP00000345708,8989
15286,ENSP00000394734,15286
7054,ENSP00000323516,7054
12683,ENSP00000368966,12683
1242,ENSP00000240691,1242
5624,ENSP00000305918,5624
1733,ENSP00000253055,1733
11279,ENSP00000360973,11279
2037,ENSP00000257904,2037
14953,ENSP00000354568,14953
806,ENSP00000226004,806
2274,ENSP00000261024,2274
11046,ENSP00000359719,11046
5409,ENSP00000303423,5409
12186,ENSP00000365725,12186
4247,ENSP00000289004,4247
182,ENSP00000176763,182
12456,ENSP00000367408,12456
5362,ENSP00000302898,5362
2923,ENSP00000264657,2923
6173,ENSP00000311733,6173
4592,ENSP00000295256,4592
10898,ENSP00000359096,10898
5647,ENSP00000306124,5647
9956,ENSP00000354652,9956
4790,ENSP00000296786,4790
12830,ENSP00000369816,12830
11038,ENSP00000359683,11038
6184,ENSP00000311857,6184
6269,ENSP00000312741,6269
15971,ENSP00000262445,15971
5677,ENSP00000306490,5677
8848,ENSP00000344220,8848
16762,ENSP00000426070,16762
4908,ENSP00000298048,4908
403,ENSP00000216330,403
8135,ENSP00000335592,8135
6496,ENSP00000316244,6496
14389,ENSP00000382791,14389
775,ENSP00000225538,775
16036,ENSP00000411593,16036
9858,ENSP00000353915,9858
11950,ENSP00000364257,11950
8824,ENSP00000343925,8824
10749,ENSP00000358391,10749
5648,ENSP00000306129,5648
1427,ENSP00000246115,1427
4476,ENSP00000293636,4476
2271,ENSP00000261007,2271
1536,ENSP00000249041,1536
5391,ENSP00000303174,5391
3669,ENSP00000276218,3669
3074,ENSP00000265572,3074
4755,ENSP00000264426,4755
12305,ENSP00000366506,12305
13879,ENSP00000379098,13879
16220,ENSP00000415840,16220
2505,ENSP00000262300,2505
7977,ENSP00000334145,7977
5906,ENSP00000308895,5906
4725,ENSP00000296411,4725
3187,ENSP00000266970,3187
15020,ENSP00000316670,15020
8666,ENSP00000342105,8666
7934,ENSP00000333821,7934
8541,ENSP00000340944,8541
1883,ENSP00000255380,1883
14169,ENSP00000303242,14169
3660,ENSP00000276077,3660
17671,ENSP00000448689,17671
3218,ENSP00000307445,3218
3636,ENSP00000275300,3636
12452,ENSP00000367391,12452
16601,ENSP00000421689,16601
3815,ENSP00000280155,3815
7591,ENSP00000329967,7591
16040,ENSP00000415890,16040
7911,ENSP00000333568,7911
6655,ENSP00000292095,6655
18595,ENSP00000359899,18595
3016,ENSP00000265113,3016
10392,ENSP00000350876,10392
17117,ENSP00000434364,17117
7410,ENSP00000327943,7410
8222,ENSP00000337335,8222
13759,ENSP00000378306,13759
17402,ENSP00000441600,17402
18319,ENSP00000312789,18319
10235,ENSP00000261465,10235
4272,ENSP00000289575,4272
13612,ENSP00000327652,13612
18330,ENSP00000470087,18330
14731,ENSP00000386069,14731
15200,ENSP00000023897,15200
225,ENSP00000199389,225
14061,ENSP00000380247,14061
9758,ENSP00000336607,9758
12234,ENSP00000366093,12234
18242,ENSP00000467494,18242
17447,ENSP00000217185,17447
14625,ENSP00000385026,14625
3948,ENSP00000282499,3948
10524,ENSP00000357301,10524
5354,ENSP00000302846,5354
3444,ENSP00000271651,3444
11588,ENSP00000362353,11588
5591,ENSP00000305603,5591
13094,ENSP00000310697,13094
5972,ENSP00000309591,5972
11213,ENSP00000360608,11213
12671,ENSP00000368884,12671
10933,ENSP00000359285,10933
7199,ENSP00000325312,7199
6906,ENSP00000321584,6906
2181,ENSP00000259808,2181
286,ENSP00000209668,286
15638,ENSP00000402084,15638
