drug,protein,ensp_id,sig_id
CHEMBL3287404,P14416,ENSP00000354859,REP.A001_A375_24H:H19
CHEMBL3287404,P14416,ENSP00000354859,REP.A001_HA1E_24H:H19
CHEMBL3287404,P14416,ENSP00000354859,REP.A001_HELA_24H:H19
CHEMBL3287404,P14416,ENSP00000354859,REP.A001_HT29_24H:H19
CHEMBL3287404,P14416,ENSP00000354859,REP.A001_MCF7_24H:H19
CHEMBL3287404,P14416,ENSP00000354859,REP.A001_PC3_24H:H19
CHEMBL3287404,P14416,ENSP00000354859,REP.A001_YAPC_24H:H19
CHEMBL325818,P14416,ENSP00000354859,REP.A014_A375_24H:P01
CHEMBL325818,P14416,ENSP00000354859,REP.A014_HA1E_24H:P01
CHEMBL325818,P14416,ENSP00000354859,REP.A014_HELA_24H:P01
CHEMBL325818,P14416,ENSP00000354859,REP.A014_HT29_24H:P01
CHEMBL325818,P14416,ENSP00000354859,REP.A014_MCF7_24H:P01
CHEMBL325818,P14416,ENSP00000354859,REP.A014_PC3_24H:P01
CHEMBL325818,P14416,ENSP00000354859,REP.A014_YAPC_24H:P01
CHEMBL252816,P14416,ENSP00000354859,REP.A014_A375_24H:P01
CHEMBL252816,P14416,ENSP00000354859,REP.A014_HA1E_24H:P01
CHEMBL252816,P14416,ENSP00000354859,REP.A014_HELA_24H:P01
CHEMBL252816,P14416,ENSP00000354859,REP.A014_HT29_24H:P01
CHEMBL252816,P14416,ENSP00000354859,REP.A014_MCF7_24H:P01
CHEMBL252816,P14416,ENSP00000354859,REP.A014_PC3_24H:P01
CHEMBL252816,P14416,ENSP00000354859,REP.A014_YAPC_24H:P01
CHEMBL3287404,P14416,ENSP00000354859,REP.A014_A375_24H:P01
CHEMBL3287404,P14416,ENSP00000354859,REP.A014_HA1E_24H:P01
CHEMBL3287404,P14416,ENSP00000354859,REP.A014_HELA_24H:P01
CHEMBL3287404,P14416,ENSP00000354859,REP.A014_HT29_24H:P01
CHEMBL3287404,P14416,ENSP00000354859,REP.A014_MCF7_24H:P01
CHEMBL3287404,P14416,ENSP00000354859,REP.A014_PC3_24H:P01
CHEMBL3287404,P14416,ENSP00000354859,REP.A014_YAPC_24H:P01
CHEMBL363466,P14416,ENSP00000354859,REP.A011_A375_24H:C01
CHEMBL363466,P14416,ENSP00000354859,REP.A011_HA1E_24H:C01
CHEMBL363466,P14416,ENSP00000354859,REP.A011_HELA_24H:C01
CHEMBL363466,P14416,ENSP00000354859,REP.A011_HT29_24H:C01
CHEMBL363466,P14416,ENSP00000354859,REP.A011_MCF7_24H:C01
CHEMBL363466,P14416,ENSP00000354859,REP.A011_PC3_24H:C01
CHEMBL363466,P14416,ENSP00000354859,REP.A011_YAPC_24H:C01
CHEMBL3287898,P14416,ENSP00000354859,REP.A003_A375_24H:B07
CHEMBL3287898,P14416,ENSP00000354859,REP.A003_HA1E_24H:B07
CHEMBL3287898,P14416,ENSP00000354859,REP.A003_HELA_24H:B07
CHEMBL3287898,P14416,ENSP00000354859,REP.A003_HT29_24H:B07
CHEMBL3287898,P14416,ENSP00000354859,REP.A003_MCF7_24H:B07
CHEMBL3287898,P14416,ENSP00000354859,REP.A003_PC3_24H:B07
CHEMBL3287898,P14416,ENSP00000354859,REP.A003_YAPC_24H:B07
CHEMBL110774,P14416,ENSP00000354859,REP.A005_A375_24H:E07
CHEMBL110774,P14416,ENSP00000354859,REP.A005_HA1E_24H:E07
CHEMBL110774,P14416,ENSP00000354859,REP.A005_HELA_24H:E07
CHEMBL110774,P14416,ENSP00000354859,REP.A005_HT29_24H:E07
CHEMBL110774,P14416,ENSP00000354859,REP.A005_MCF7_24H:E07
CHEMBL110774,P14416,ENSP00000354859,REP.A005_PC3_24H:E07
CHEMBL110774,P14416,ENSP00000354859,REP.A005_YAPC_24H:E07
CHEMBL3287401,P14416,ENSP00000354859,REP.A005_A375_24H:E07
CHEMBL3287401,P14416,ENSP00000354859,REP.A005_HA1E_24H:E07
CHEMBL3287401,P14416,ENSP00000354859,REP.A005_HELA_24H:E07
CHEMBL3287401,P14416,ENSP00000354859,REP.A005_HT29_24H:E07
CHEMBL3287401,P14416,ENSP00000354859,REP.A005_MCF7_24H:E07
CHEMBL3287401,P14416,ENSP00000354859,REP.A005_PC3_24H:E07
CHEMBL3287401,P14416,ENSP00000354859,REP.A005_YAPC_24H:E07
CHEMBL1255966CHEMBL285755,P14416,ENSP00000354859,REP.A005_A375_24H:J19
CHEMBL1255966CHEMBL285755,P14416,ENSP00000354859,REP.A005_HA1E_24H:J19
CHEMBL1255966CHEMBL285755,P14416,ENSP00000354859,REP.A005_HELA_24H:J19
CHEMBL1255966CHEMBL285755,P14416,ENSP00000354859,REP.A005_HT29_24H:J19
CHEMBL1255966CHEMBL285755,P14416,ENSP00000354859,REP.A005_MCF7_24H:J19
CHEMBL1255966CHEMBL285755,P14416,ENSP00000354859,REP.A005_PC3_24H:J19
CHEMBL1255966CHEMBL285755,P14416,ENSP00000354859,REP.A005_YAPC_24H:J19
CHEMBL3289977,P14416,ENSP00000354859,REP.A017_A375_24H:C01
CHEMBL3289977,P14416,ENSP00000354859,REP.A017_HA1E_24H:C01
CHEMBL3289977,P14416,ENSP00000354859,REP.A017_HELA_24H:C01
CHEMBL3289977,P14416,ENSP00000354859,REP.A017_HT29_24H:C01
CHEMBL3289977,P14416,ENSP00000354859,REP.A017_MCF7_24H:C01
CHEMBL3289977,P14416,ENSP00000354859,REP.A017_PC3_24H:C01
CHEMBL3289977,P14416,ENSP00000354859,REP.A017_YAPC_24H:C01
CHEMBL3289980,P14416,ENSP00000354859,REP.A017_A375_24H:C01
CHEMBL3289980,P14416,ENSP00000354859,REP.A017_HA1E_24H:C01
CHEMBL3289980,P14416,ENSP00000354859,REP.A017_HELA_24H:C01
CHEMBL3289980,P14416,ENSP00000354859,REP.A017_HT29_24H:C01
CHEMBL3289980,P14416,ENSP00000354859,REP.A017_MCF7_24H:C01
CHEMBL3289980,P14416,ENSP00000354859,REP.A017_PC3_24H:C01
CHEMBL3289980,P14416,ENSP00000354859,REP.A017_YAPC_24H:C01
CHEMBL3289981,P14416,ENSP00000354859,REP.A017_A375_24H:C01
CHEMBL3289981,P14416,ENSP00000354859,REP.A017_HA1E_24H:C01
CHEMBL3289981,P14416,ENSP00000354859,REP.A017_HELA_24H:C01
CHEMBL3289981,P14416,ENSP00000354859,REP.A017_HT29_24H:C01
CHEMBL3289981,P14416,ENSP00000354859,REP.A017_MCF7_24H:C01
CHEMBL3289981,P14416,ENSP00000354859,REP.A017_PC3_24H:C01
CHEMBL3289981,P14416,ENSP00000354859,REP.A017_YAPC_24H:C01
CHEMBL3289982,P14416,ENSP00000354859,REP.A017_A375_24H:C01
CHEMBL3289982,P14416,ENSP00000354859,REP.A017_HA1E_24H:C01
CHEMBL3289982,P14416,ENSP00000354859,REP.A017_HELA_24H:C01
CHEMBL3289982,P14416,ENSP00000354859,REP.A017_HT29_24H:C01
CHEMBL3289982,P14416,ENSP00000354859,REP.A017_MCF7_24H:C01
CHEMBL3289982,P14416,ENSP00000354859,REP.A017_PC3_24H:C01
CHEMBL3289982,P14416,ENSP00000354859,REP.A017_YAPC_24H:C01
CHEMBL3289985,P14416,ENSP00000354859,REP.A017_A375_24H:C01
CHEMBL3289985,P14416,ENSP00000354859,REP.A017_HA1E_24H:C01
CHEMBL3289985,P14416,ENSP00000354859,REP.A017_HELA_24H:C01
CHEMBL3289985,P14416,ENSP00000354859,REP.A017_HT29_24H:C01
CHEMBL3289985,P14416,ENSP00000354859,REP.A017_MCF7_24H:C01
CHEMBL3289985,P14416,ENSP00000354859,REP.A017_PC3_24H:C01
CHEMBL3289985,P14416,ENSP00000354859,REP.A017_YAPC_24H:C01
CHEMBL59725,P14416,ENSP00000354859,REP.A005_A375_24H:F01
CHEMBL59725,P14416,ENSP00000354859,REP.A005_HA1E_24H:F01
CHEMBL59725,P14416,ENSP00000354859,REP.A005_HELA_24H:F01
CHEMBL59725,P14416,ENSP00000354859,REP.A005_HT29_24H:F01
CHEMBL59725,P14416,ENSP00000354859,REP.A005_MCF7_24H:F01
CHEMBL59725,P14416,ENSP00000354859,REP.A005_PC3_24H:F01
CHEMBL59725,P14416,ENSP00000354859,REP.A005_YAPC_24H:F01
CHEMBL3605331,P14416,ENSP00000354859,REP.A005_A375_24H:F01
CHEMBL3605331,P14416,ENSP00000354859,REP.A005_HA1E_24H:F01
CHEMBL3605331,P14416,ENSP00000354859,REP.A005_HELA_24H:F01
CHEMBL3605331,P14416,ENSP00000354859,REP.A005_HT29_24H:F01
CHEMBL3605331,P14416,ENSP00000354859,REP.A005_MCF7_24H:F01
CHEMBL3605331,P14416,ENSP00000354859,REP.A005_PC3_24H:F01
CHEMBL3605331,P14416,ENSP00000354859,REP.A005_YAPC_24H:F01
CHEMBL59725,P14416,ENSP00000354859,REP.A018_A375_24H:H01
CHEMBL59725,P14416,ENSP00000354859,REP.A018_HA1E_24H:H01
CHEMBL59725,P14416,ENSP00000354859,REP.A018_HELA_24H:H01
CHEMBL59725,P14416,ENSP00000354859,REP.A018_HT29_24H:H01
CHEMBL59725,P14416,ENSP00000354859,REP.A018_MCF7_24H:H01
CHEMBL59725,P14416,ENSP00000354859,REP.A018_PC3_24H:H01
CHEMBL59725,P14416,ENSP00000354859,REP.A018_YAPC_24H:H01
CHEMBL3605331,P14416,ENSP00000354859,REP.A018_A375_24H:H01
CHEMBL3605331,P14416,ENSP00000354859,REP.A018_HA1E_24H:H01
CHEMBL3605331,P14416,ENSP00000354859,REP.A018_HELA_24H:H01
CHEMBL3605331,P14416,ENSP00000354859,REP.A018_HT29_24H:H01
CHEMBL3605331,P14416,ENSP00000354859,REP.A018_MCF7_24H:H01
CHEMBL3605331,P14416,ENSP00000354859,REP.A018_PC3_24H:H01
CHEMBL3605331,P14416,ENSP00000354859,REP.A018_YAPC_24H:H01
CHEMBL3289999,P14416,ENSP00000354859,REP.A001_A375_24H:G01
CHEMBL3289999,P14416,ENSP00000354859,REP.A001_HT29_24H:G01
CHEMBL3289999,P14416,ENSP00000354859,REP.A001_MCF7_24H:G01
CHEMBL3289999,P14416,ENSP00000354859,REP.A001_PC3_24H:G01
CHEMBL3289999,P14416,ENSP00000354859,REP.A001_YAPC_24H:G01
CHEMBL156639,P14416,ENSP00000354859,REP.A012_A375_24H:I01
CHEMBL156639,P14416,ENSP00000354859,REP.A012_HA1E_24H:I01
CHEMBL156639,P14416,ENSP00000354859,REP.A012_HELA_24H:I01
CHEMBL156639,P14416,ENSP00000354859,REP.A012_HT29_24H:I01
CHEMBL156639,P14416,ENSP00000354859,REP.A012_MCF7_24H:I01
CHEMBL156639,P14416,ENSP00000354859,REP.A012_PC3_24H:I01
CHEMBL156639,P14416,ENSP00000354859,REP.A012_YAPC_24H:I01
CHEMBL3311308,P14416,ENSP00000354859,REP.A019_A375_24H:F19
CHEMBL3311308,P14416,ENSP00000354859,REP.A019_HA1E_24H:F19
CHEMBL3311308,P14416,ENSP00000354859,REP.A019_HELA_24H:F19
CHEMBL3311308,P14416,ENSP00000354859,REP.A019_HT29_24H:F19
CHEMBL3311308,P14416,ENSP00000354859,REP.A019_MCF7_24H:F19
CHEMBL3311308,P14416,ENSP00000354859,REP.A019_PC3_24H:F19
CHEMBL3311308,P14416,ENSP00000354859,REP.A019_YAPC_24H:F19
CHEMBL325818,P14416,ENSP00000354859,REP.A013_A375_24H:M13
CHEMBL325818,P14416,ENSP00000354859,REP.A013_HA1E_24H:M13
CHEMBL325818,P14416,ENSP00000354859,REP.A013_HELA_24H:M13
CHEMBL325818,P14416,ENSP00000354859,REP.A013_HT29_24H:M13
CHEMBL325818,P14416,ENSP00000354859,REP.A013_MCF7_24H:M13
CHEMBL325818,P14416,ENSP00000354859,REP.A013_PC3_24H:M13
CHEMBL325818,P14416,ENSP00000354859,REP.A013_YAPC_24H:M13
CHEMBL372020,P14416,ENSP00000354859,REP.A013_A375_24H:M13
CHEMBL372020,P14416,ENSP00000354859,REP.A013_HA1E_24H:M13
CHEMBL372020,P14416,ENSP00000354859,REP.A013_HELA_24H:M13
CHEMBL372020,P14416,ENSP00000354859,REP.A013_HT29_24H:M13
CHEMBL372020,P14416,ENSP00000354859,REP.A013_MCF7_24H:M13
CHEMBL372020,P14416,ENSP00000354859,REP.A013_PC3_24H:M13
CHEMBL372020,P14416,ENSP00000354859,REP.A013_YAPC_24H:M13
CHEMBL3287404,P14416,ENSP00000354859,REP.A013_A375_24H:M13
CHEMBL3287404,P14416,ENSP00000354859,REP.A013_HA1E_24H:M13
CHEMBL3287404,P14416,ENSP00000354859,REP.A013_HELA_24H:M13
CHEMBL3287404,P14416,ENSP00000354859,REP.A013_HT29_24H:M13
CHEMBL3287404,P14416,ENSP00000354859,REP.A013_MCF7_24H:M13
CHEMBL3287404,P14416,ENSP00000354859,REP.A013_PC3_24H:M13
CHEMBL3287404,P14416,ENSP00000354859,REP.A013_YAPC_24H:M13
CHEMBL325818,P14416,ENSP00000354859,REP.A007_A375_24H:C01
CHEMBL325818,P14416,ENSP00000354859,REP.A007_HA1E_24H:C01
CHEMBL325818,P14416,ENSP00000354859,REP.A007_HELA_24H:C01
CHEMBL325818,P14416,ENSP00000354859,REP.A007_HT29_24H:C01
CHEMBL325818,P14416,ENSP00000354859,REP.A007_MCF7_24H:C01
CHEMBL325818,P14416,ENSP00000354859,REP.A007_PC3_24H:C01
CHEMBL325818,P14416,ENSP00000354859,REP.A007_YAPC_24H:C01
CHEMBL372020,P14416,ENSP00000354859,REP.A007_A375_24H:C01
CHEMBL372020,P14416,ENSP00000354859,REP.A007_HA1E_24H:C01
CHEMBL372020,P14416,ENSP00000354859,REP.A007_HELA_24H:C01
CHEMBL372020,P14416,ENSP00000354859,REP.A007_HT29_24H:C01
CHEMBL372020,P14416,ENSP00000354859,REP.A007_MCF7_24H:C01
CHEMBL372020,P14416,ENSP00000354859,REP.A007_PC3_24H:C01
CHEMBL372020,P14416,ENSP00000354859,REP.A007_YAPC_24H:C01
CHEMBL3287404,P14416,ENSP00000354859,REP.A007_A375_24H:C01
CHEMBL3287404,P14416,ENSP00000354859,REP.A007_HA1E_24H:C01
CHEMBL3287404,P14416,ENSP00000354859,REP.A007_HELA_24H:C01
CHEMBL3287404,P14416,ENSP00000354859,REP.A007_HT29_24H:C01
CHEMBL3287404,P14416,ENSP00000354859,REP.A007_MCF7_24H:C01
CHEMBL3287404,P14416,ENSP00000354859,REP.A007_PC3_24H:C01
CHEMBL3287404,P14416,ENSP00000354859,REP.A007_YAPC_24H:C01
CHEMBL325818,P14416,ENSP00000354859,REP.A026_A375_24H:A07
CHEMBL325818,P14416,ENSP00000354859,REP.A026_HA1E_24H:A07
CHEMBL325818,P14416,ENSP00000354859,REP.A026_HELA_24H:A07
CHEMBL325818,P14416,ENSP00000354859,REP.A026_HT29_24H:A07
CHEMBL325818,P14416,ENSP00000354859,REP.A026_MCF7_24H:A07
CHEMBL325818,P14416,ENSP00000354859,REP.A026_PC3_24H:A07
CHEMBL325818,P14416,ENSP00000354859,REP.A026_YAPC_24H:A07
CHEMBL372020,P14416,ENSP00000354859,REP.A026_A375_24H:A07
CHEMBL372020,P14416,ENSP00000354859,REP.A026_HA1E_24H:A07
CHEMBL372020,P14416,ENSP00000354859,REP.A026_HELA_24H:A07
CHEMBL372020,P14416,ENSP00000354859,REP.A026_HT29_24H:A07
CHEMBL372020,P14416,ENSP00000354859,REP.A026_MCF7_24H:A07
CHEMBL372020,P14416,ENSP00000354859,REP.A026_PC3_24H:A07
CHEMBL372020,P14416,ENSP00000354859,REP.A026_YAPC_24H:A07
CHEMBL3287404,P14416,ENSP00000354859,REP.A026_A375_24H:A07
CHEMBL3287404,P14416,ENSP00000354859,REP.A026_HA1E_24H:A07
CHEMBL3287404,P14416,ENSP00000354859,REP.A026_HELA_24H:A07
CHEMBL3287404,P14416,ENSP00000354859,REP.A026_HT29_24H:A07
CHEMBL3287404,P14416,ENSP00000354859,REP.A026_MCF7_24H:A07
CHEMBL3287404,P14416,ENSP00000354859,REP.A026_PC3_24H:A07
CHEMBL3287404,P14416,ENSP00000354859,REP.A026_YAPC_24H:A07
CHEMBL93868,P14416,ENSP00000354859,REP.A018_A375_24H:C13
CHEMBL93868,P14416,ENSP00000354859,REP.A018_HA1E_24H:C13
CHEMBL93868,P14416,ENSP00000354859,REP.A018_HELA_24H:C13
CHEMBL93868,P14416,ENSP00000354859,REP.A018_HT29_24H:C13
CHEMBL93868,P14416,ENSP00000354859,REP.A018_MCF7_24H:C13
CHEMBL93868,P14416,ENSP00000354859,REP.A018_PC3_24H:C13
CHEMBL93868,P14416,ENSP00000354859,REP.A018_YAPC_24H:C13
CHEMBL3323011,P14416,ENSP00000354859,REP.A018_A375_24H:C13
CHEMBL3323011,P14416,ENSP00000354859,REP.A018_HA1E_24H:C13
CHEMBL3323011,P14416,ENSP00000354859,REP.A018_HELA_24H:C13
CHEMBL3323011,P14416,ENSP00000354859,REP.A018_HT29_24H:C13
CHEMBL3323011,P14416,ENSP00000354859,REP.A018_MCF7_24H:C13
CHEMBL3323011,P14416,ENSP00000354859,REP.A018_PC3_24H:C13
CHEMBL3323011,P14416,ENSP00000354859,REP.A018_YAPC_24H:C13
CHEMBL3323017,P14416,ENSP00000354859,REP.A018_A375_24H:C13
CHEMBL3323017,P14416,ENSP00000354859,REP.A018_HA1E_24H:C13
CHEMBL3323017,P14416,ENSP00000354859,REP.A018_HELA_24H:C13
CHEMBL3323017,P14416,ENSP00000354859,REP.A018_HT29_24H:C13
CHEMBL3323017,P14416,ENSP00000354859,REP.A018_MCF7_24H:C13
CHEMBL3323017,P14416,ENSP00000354859,REP.A018_PC3_24H:C13
CHEMBL3323017,P14416,ENSP00000354859,REP.A018_YAPC_24H:C13
CHEMBL3322995,P14416,ENSP00000354859,REP.A018_A375_24H:C13
CHEMBL3322995,P14416,ENSP00000354859,REP.A018_HA1E_24H:C13
CHEMBL3322995,P14416,ENSP00000354859,REP.A018_HELA_24H:C13
CHEMBL3322995,P14416,ENSP00000354859,REP.A018_HT29_24H:C13
CHEMBL3322995,P14416,ENSP00000354859,REP.A018_MCF7_24H:C13
CHEMBL3322995,P14416,ENSP00000354859,REP.A018_PC3_24H:C13
CHEMBL3322995,P14416,ENSP00000354859,REP.A018_YAPC_24H:C13
CHEMBL3322998,P14416,ENSP00000354859,REP.A018_A375_24H:C13
CHEMBL3322998,P14416,ENSP00000354859,REP.A018_HA1E_24H:C13
CHEMBL3322998,P14416,ENSP00000354859,REP.A018_HELA_24H:C13
CHEMBL3322998,P14416,ENSP00000354859,REP.A018_HT29_24H:C13
CHEMBL3322998,P14416,ENSP00000354859,REP.A018_MCF7_24H:C13
CHEMBL3322998,P14416,ENSP00000354859,REP.A018_PC3_24H:C13
CHEMBL3322998,P14416,ENSP00000354859,REP.A018_YAPC_24H:C13
CHEMBL3323003,P14416,ENSP00000354859,REP.A018_A375_24H:C13
CHEMBL3323003,P14416,ENSP00000354859,REP.A018_HA1E_24H:C13
CHEMBL3323003,P14416,ENSP00000354859,REP.A018_HELA_24H:C13
CHEMBL3323003,P14416,ENSP00000354859,REP.A018_HT29_24H:C13
CHEMBL3323003,P14416,ENSP00000354859,REP.A018_MCF7_24H:C13
CHEMBL3323003,P14416,ENSP00000354859,REP.A018_PC3_24H:C13
CHEMBL3323003,P14416,ENSP00000354859,REP.A018_YAPC_24H:C13
CHEMBL382591,P14416,ENSP00000354859,REP.A003_A375_24H:J01
CHEMBL382591,P14416,ENSP00000354859,REP.A003_HA1E_24H:J01
CHEMBL382591,P14416,ENSP00000354859,REP.A003_HELA_24H:J01
CHEMBL382591,P14416,ENSP00000354859,REP.A003_HT29_24H:J01
CHEMBL382591,P14416,ENSP00000354859,REP.A003_MCF7_24H:J01
CHEMBL382591,P14416,ENSP00000354859,REP.A003_PC3_24H:J01
CHEMBL382591,P14416,ENSP00000354859,REP.A003_YAPC_24H:J01
CHEMBL201400,P14416,ENSP00000354859,REP.A003_A375_24H:J01
CHEMBL201400,P14416,ENSP00000354859,REP.A003_HA1E_24H:J01
CHEMBL201400,P14416,ENSP00000354859,REP.A003_HELA_24H:J01
CHEMBL201400,P14416,ENSP00000354859,REP.A003_HT29_24H:J01
CHEMBL201400,P14416,ENSP00000354859,REP.A003_MCF7_24H:J01
CHEMBL201400,P14416,ENSP00000354859,REP.A003_PC3_24H:J01
CHEMBL201400,P14416,ENSP00000354859,REP.A003_YAPC_24H:J01
CHEMBL301559,P14416,ENSP00000354859,REP.A016_A375_24H:P07
CHEMBL301559,P14416,ENSP00000354859,REP.A016_HA1E_24H:P07
CHEMBL301559,P14416,ENSP00000354859,REP.A016_HELA_24H:P07
CHEMBL301559,P14416,ENSP00000354859,REP.A016_HT29_24H:P07
CHEMBL301559,P14416,ENSP00000354859,REP.A016_MCF7_24H:P07
CHEMBL301559,P14416,ENSP00000354859,REP.A016_PC3_24H:P07
CHEMBL301559,P14416,ENSP00000354859,REP.A016_YAPC_24H:P07
CHEMBL252539,P14416,ENSP00000354859,REP.A016_A375_24H:P07
CHEMBL252539,P14416,ENSP00000354859,REP.A016_HA1E_24H:P07
CHEMBL252539,P14416,ENSP00000354859,REP.A016_HELA_24H:P07
CHEMBL252539,P14416,ENSP00000354859,REP.A016_HT29_24H:P07
CHEMBL252539,P14416,ENSP00000354859,REP.A016_MCF7_24H:P07
CHEMBL252539,P14416,ENSP00000354859,REP.A016_PC3_24H:P07
CHEMBL252539,P14416,ENSP00000354859,REP.A016_YAPC_24H:P07
CHEMBL254198,P14416,ENSP00000354859,REP.A003_A375_24H:K13
CHEMBL254198,P14416,ENSP00000354859,REP.A003_HA1E_24H:K13
CHEMBL254198,P14416,ENSP00000354859,REP.A003_HELA_24H:K13
CHEMBL254198,P14416,ENSP00000354859,REP.A003_HT29_24H:K13
CHEMBL254198,P14416,ENSP00000354859,REP.A003_MCF7_24H:K13
CHEMBL254198,P14416,ENSP00000354859,REP.A003_PC3_24H:K13
CHEMBL254198,P14416,ENSP00000354859,REP.A003_YAPC_24H:K13
CHEMBL252539,P14416,ENSP00000354859,REP.A003_A375_24H:K13
CHEMBL252539,P14416,ENSP00000354859,REP.A003_HA1E_24H:K13
CHEMBL252539,P14416,ENSP00000354859,REP.A003_HELA_24H:K13
CHEMBL252539,P14416,ENSP00000354859,REP.A003_HT29_24H:K13
