sig_index,sig_id
139,REP.A001_PC3_24H:D13
140,REP.A001_PC3_24H:D19
141,REP.A001_PC3_24H:E01
142,REP.A001_PC3_24H:E07
143,REP.A001_PC3_24H:E13
144,REP.A001_PC3_24H:G01
145,REP.A001_PC3_24H:H01
146,REP.A001_PC3_24H:H13
147,REP.A001_PC3_24H:H19
148,REP.A001_PC3_24H:I01
149,REP.A001_PC3_24H:I07
150,REP.A001_PC3_24H:I13
151,REP.A001_PC3_24H:J19
152,REP.A001_PC3_24H:K01
153,REP.A001_PC3_24H:L13
154,REP.A001_PC3_24H:M07
155,REP.A001_PC3_24H:M13
156,REP.A001_PC3_24H:N01
157,REP.A001_PC3_24H:N13
158,REP.A001_PC3_24H:P01
159,REP.A001_PC3_24H:P07
160,REP.A001_PC3_24H:P13
161,REP.A001_YAPC_24H:B07
162,REP.A001_YAPC_24H:B13
163,REP.A001_YAPC_24H:C01
164,REP.A001_YAPC_24H:C07
165,REP.A001_YAPC_24H:D07
166,REP.A001_YAPC_24H:D13
167,REP.A001_YAPC_24H:D19
168,REP.A001_YAPC_24H:E01
169,REP.A001_YAPC_24H:E07
170,REP.A001_YAPC_24H:E13
171,REP.A001_YAPC_24H:G01
172,REP.A001_YAPC_24H:H01
173,REP.A001_YAPC_24H:H13
174,REP.A001_YAPC_24H:H19
175,REP.A001_YAPC_24H:I01
176,REP.A001_YAPC_24H:I07
177,REP.A001_YAPC_24H:I13
178,REP.A001_YAPC_24H:J19
179,REP.A001_YAPC_24H:L13
180,REP.A001_YAPC_24H:M07
181,REP.A001_YAPC_24H:M13
182,REP.A001_YAPC_24H:N01
183,REP.A001_YAPC_24H:N13
184,REP.A001_YAPC_24H:P01
185,REP.A001_YAPC_24H:P07
186,REP.A001_YAPC_24H:P13
187,REP.A001_YAPC_24H:K01
188,REP.A002_A375_24H:A13
189,REP.A002_A375_24H:B13
190,REP.A002_A375_24H:D01
191,REP.A002_A375_24H:D07
192,REP.A002_A375_24H:D19
193,REP.A002_A375_24H:E13
194,REP.A002_A375_24H:F19
195,REP.A002_A375_24H:G01
196,REP.A002_A375_24H:G07
197,REP.A002_A375_24H:H07
198,REP.A002_A375_24H:H19
199,REP.A002_A375_24H:I13
200,REP.A002_A375_24H:K13
201,REP.A002_A375_24H:L07
202,REP.A002_A375_24H:L19
203,REP.A002_A375_24H:M07
204,REP.A002_A375_24H:M13
205,REP.A002_A375_24H:M19
206,REP.A002_A375_24H:N01
207,REP.A002_A375_24H:O07
208,REP.A002_A375_24H:P01
209,REP.A002_A375_24H:P07
210,REP.A002_A375_24H:P13
211,REP.A002_HA1E_24H:A13
212,REP.A002_HA1E_24H:B13
213,REP.A002_HA1E_24H:D01
214,REP.A002_HA1E_24H:D07
215,REP.A002_HA1E_24H:D19
216,REP.A002_HA1E_24H:E13
217,REP.A002_HA1E_24H:F19
218,REP.A002_HA1E_24H:G01
219,REP.A002_HA1E_24H:G07
220,REP.A002_HA1E_24H:H07
221,REP.A002_HA1E_24H:H19
222,REP.A002_HA1E_24H:I13
223,REP.A002_HA1E_24H:K13
224,REP.A002_HA1E_24H:L07
225,REP.A002_HA1E_24H:L19
226,REP.A002_HA1E_24H:M07
227,REP.A002_HA1E_24H:M13
228,REP.A002_HA1E_24H:M19
229,REP.A002_HA1E_24H:O07
230,REP.A002_HA1E_24H:P01
231,REP.A002_HA1E_24H:P07
232,REP.A002_HA1E_24H:P13
233,REP.A002_HA1E_24H:N01
234,REP.A002_HELA_24H:A13
235,REP.A002_HELA_24H:B13
236,REP.A002_HELA_24H:D01
237,REP.A002_HELA_24H:D07
238,REP.A002_HELA_24H:D19
239,REP.A002_HELA_24H:E13
240,REP.A002_HELA_24H:F19
241,REP.A002_HELA_24H:G01
242,REP.A002_HELA_24H:G07
243,REP.A002_HELA_24H:H07
244,REP.A002_HELA_24H:H19
245,REP.A002_HELA_24H:I13
246,REP.A002_HELA_24H:K13
247,REP.A002_HELA_24H:L07
248,REP.A002_HELA_24H:L19
249,REP.A002_HELA_24H:M07
250,REP.A002_HELA_24H:M13
251,REP.A002_HELA_24H:M19
252,REP.A002_HELA_24H:N01
253,REP.A002_HELA_24H:O07
254,REP.A002_HELA_24H:P01
255,REP.A002_HELA_24H:P07
256,REP.A002_HELA_24H:P13
257,REP.A002_HT29_24H:A13
258,REP.A002_HT29_24H:B13
259,REP.A002_HT29_24H:D01
260,REP.A002_HT29_24H:D07
261,REP.A002_HT29_24H:D19
262,REP.A002_HT29_24H:E13
263,REP.A002_HT29_24H:F19
264,REP.A002_HT29_24H:G01
265,REP.A002_HT29_24H:G07
266,REP.A002_HT29_24H:H07
267,REP.A002_HT29_24H:H19
268,REP.A002_HT29_24H:I13
269,REP.A002_HT29_24H:K13
270,REP.A002_HT29_24H:K19
271,REP.A002_HT29_24H:L07
272,REP.A002_HT29_24H:L19
273,REP.A002_HT29_24H:M07
274,REP.A002_HT29_24H:M13
275,REP.A002_HT29_24H:M19
276,REP.A002_HT29_24H:N01
277,REP.A002_HT29_24H:O07
278,REP.A002_HT29_24H:P01
279,REP.A002_HT29_24H:P07
280,REP.A002_HT29_24H:P13
281,REP.A002_MCF7_24H:A13
282,REP.A002_MCF7_24H:B13
283,REP.A002_MCF7_24H:D01
284,REP.A002_MCF7_24H:D07
285,REP.A002_MCF7_24H:D19
286,REP.A002_MCF7_24H:E13
287,REP.A002_MCF7_24H:F19
288,REP.A002_MCF7_24H:G01
289,REP.A002_MCF7_24H:G07
290,REP.A002_MCF7_24H:H07
291,REP.A002_MCF7_24H:H19
292,REP.A002_MCF7_24H:I13
293,REP.A002_MCF7_24H:K13
294,REP.A002_MCF7_24H:K19
295,REP.A002_MCF7_24H:L07
296,REP.A002_MCF7_24H:L19
297,REP.A002_MCF7_24H:M07
298,REP.A002_MCF7_24H:M13
299,REP.A002_MCF7_24H:M19
300,REP.A002_MCF7_24H:N01
301,REP.A002_MCF7_24H:O07
302,REP.A002_MCF7_24H:P01
303,REP.A002_MCF7_24H:P07
304,REP.A002_MCF7_24H:P13
305,REP.A002_PC3_24H:A13
306,REP.A002_PC3_24H:B13
307,REP.A002_PC3_24H:D01
308,REP.A002_PC3_24H:D07
309,REP.A002_PC3_24H:D19
310,REP.A002_PC3_24H:E13
311,REP.A002_PC3_24H:F19
312,REP.A002_PC3_24H:G01
313,REP.A002_PC3_24H:G07
314,REP.A002_PC3_24H:H07
315,REP.A002_PC3_24H:H19
316,REP.A002_PC3_24H:I13
317,REP.A002_PC3_24H:K13
318,REP.A002_PC3_24H:L07
319,REP.A002_PC3_24H:L19
320,REP.A002_PC3_24H:M07
321,REP.A002_PC3_24H:M13
322,REP.A002_PC3_24H:M19
323,REP.A002_PC3_24H:N01
324,REP.A002_PC3_24H:O07
325,REP.A002_PC3_24H:P01
326,REP.A002_PC3_24H:P07
327,REP.A002_PC3_24H:P13
328,REP.A002_YAPC_24H:A13
329,REP.A002_YAPC_24H:B13
330,REP.A002_YAPC_24H:D01
331,REP.A002_YAPC_24H:D07
332,REP.A002_YAPC_24H:D19
333,REP.A002_YAPC_24H:E13
334,REP.A002_YAPC_24H:F19
335,REP.A002_YAPC_24H:G01
336,REP.A002_YAPC_24H:G07
337,REP.A002_YAPC_24H:H07
338,REP.A002_YAPC_24H:H19
339,REP.A002_YAPC_24H:I13
340,REP.A002_YAPC_24H:K13
341,REP.A002_YAPC_24H:K19
342,REP.A002_YAPC_24H:L07
343,REP.A002_YAPC_24H:L19
344,REP.A002_YAPC_24H:M07
345,REP.A002_YAPC_24H:M13
346,REP.A002_YAPC_24H:M19
347,REP.A002_YAPC_24H:N01
348,REP.A002_YAPC_24H:O07
349,REP.A002_YAPC_24H:P01
350,REP.A002_YAPC_24H:P07
351,REP.A002_YAPC_24H:P13
352,REP.A003_A375_24H:A13
353,REP.A003_A375_24H:A19
354,REP.A003_A375_24H:B07
355,REP.A003_A375_24H:D01
356,REP.A003_A375_24H:D13
357,REP.A003_A375_24H:F01
358,REP.A003_A375_24H:F13
359,REP.A003_A375_24H:G07
360,REP.A003_A375_24H:H07
361,REP.A003_A375_24H:H13
362,REP.A003_A375_24H:I01
363,REP.A003_A375_24H:J01
364,REP.A003_A375_24H:J07
365,REP.A003_A375_24H:J19
366,REP.A003_A375_24H:K01
367,REP.A003_A375_24H:K13
368,REP.A003_A375_24H:L01
369,REP.A003_A375_24H:L07
370,REP.A003_A375_24H:L13
371,REP.A003_A375_24H:M01
372,REP.A003_A375_24H:M07
373,REP.A003_A375_24H:M19
374,REP.A003_A375_24H:N07
375,REP.A003_A375_24H:P01
376,REP.A003_HA1E_24H:A13
377,REP.A003_HA1E_24H:A19
378,REP.A003_HA1E_24H:B07
379,REP.A003_HA1E_24H:D01
380,REP.A003_HA1E_24H:D13
381,REP.A003_HA1E_24H:F01
382,REP.A003_HA1E_24H:F13
383,REP.A003_HA1E_24H:G07
384,REP.A003_HA1E_24H:H07
385,REP.A003_HA1E_24H:H13
386,REP.A003_HA1E_24H:I01
387,REP.A003_HA1E_24H:J01
388,REP.A003_HA1E_24H:J07
389,REP.A003_HA1E_24H:J19
390,REP.A003_HA1E_24H:K01
391,REP.A003_HA1E_24H:K13
392,REP.A003_HA1E_24H:L01
393,REP.A003_HA1E_24H:L07
394,REP.A003_HA1E_24H:L13
395,REP.A003_HA1E_24H:M01
396,REP.A003_HA1E_24H:M07
397,REP.A003_HA1E_24H:M19
398,REP.A003_HA1E_24H:N07
399,REP.A003_HA1E_24H:P01
400,REP.A003_HELA_24H:A13
401,REP.A003_HELA_24H:A19
402,REP.A003_HELA_24H:B07
403,REP.A003_HELA_24H:D01
404,REP.A003_HELA_24H:D13
405,REP.A003_HELA_24H:F01
406,REP.A003_HELA_24H:F13
407,REP.A003_HELA_24H:G07
408,REP.A003_HELA_24H:H07
409,REP.A003_HELA_24H:H13
410,REP.A003_HELA_24H:I01
411,REP.A003_HELA_24H:J01
412,REP.A003_HELA_24H:J07
413,REP.A003_HELA_24H:J19
414,REP.A003_HELA_24H:K01
415,REP.A003_HELA_24H:K13
416,REP.A003_HELA_24H:L01
417,REP.A003_HELA_24H:L07
418,REP.A003_HELA_24H:L13
419,REP.A003_HELA_24H:M01
420,REP.A003_HELA_24H:M07
421,REP.A003_HELA_24H:M19
422,REP.A003_HELA_24H:N07
423,REP.A003_HELA_24H:P01
424,REP.A003_HT29_24H:A13
425,REP.A003_HT29_24H:A19
426,REP.A003_HT29_24H:B07
427,REP.A003_HT29_24H:D01
428,REP.A003_HT29_24H:D13
429,REP.A003_HT29_24H:F01
430,REP.A003_HT29_24H:F13
431,REP.A003_HT29_24H:G07
432,REP.A003_HT29_24H:H07
433,REP.A003_HT29_24H:H13
434,REP.A003_HT29_24H:I01
435,REP.A003_HT29_24H:J01
436,REP.A003_HT29_24H:J07
437,REP.A003_HT29_24H:J19
438,REP.A003_HT29_24H:K13
439,REP.A003_HT29_24H:L01
440,REP.A003_HT29_24H:L07
441,REP.A003_HT29_24H:L13
442,REP.A003_HT29_24H:M01
443,REP.A003_HT29_24H:M07
444,REP.A003_HT29_24H:M19
445,REP.A003_HT29_24H:N07
446,REP.A003_HT29_24H:P01
447,REP.A003_HT29_24H:K01
448,REP.A003_MCF7_24H:A13
449,REP.A003_MCF7_24H:A19
450,REP.A003_MCF7_24H:B07
451,REP.A003_MCF7_24H:D01
452,REP.A003_MCF7_24H:D13
453,REP.A003_MCF7_24H:F01
454,REP.A003_MCF7_24H:F13
455,REP.A003_MCF7_24H:G07
456,REP.A003_MCF7_24H:H07
457,REP.A003_MCF7_24H:H13
458,REP.A003_MCF7_24H:I01
459,REP.A003_MCF7_24H:J01
460,REP.A003_MCF7_24H:J07
461,REP.A003_MCF7_24H:J19
462,REP.A003_MCF7_24H:K01
463,REP.A003_MCF7_24H:K13
464,REP.A003_MCF7_24H:L01
465,REP.A003_MCF7_24H:L07
466,REP.A003_MCF7_24H:L13
467,REP.A003_MCF7_24H:M01
468,REP.A003_MCF7_24H:M07
469,REP.A003_MCF7_24H:M19
470,REP.A003_MCF7_24H:N07
471,REP.A003_MCF7_24H:P01
472,REP.A003_PC3_24H:A13
473,REP.A003_PC3_24H:A19
474,REP.A003_PC3_24H:B07
475,REP.A003_PC3_24H:D01
476,REP.A003_PC3_24H:D13
477,REP.A003_PC3_24H:F01
478,REP.A003_PC3_24H:F13
479,REP.A003_PC3_24H:G07
480,REP.A003_PC3_24H:H07
481,REP.A003_PC3_24H:H13
482,REP.A003_PC3_24H:I01
483,REP.A003_PC3_24H:J01
484,REP.A003_PC3_24H:J07
485,REP.A003_PC3_24H:J19
486,REP.A003_PC3_24H:K01
487,REP.A003_PC3_24H:K13
488,REP.A003_PC3_24H:L01
489,REP.A003_PC3_24H:L07
490,REP.A003_PC3_24H:L13
491,REP.A003_PC3_24H:M01
492,REP.A003_PC3_24H:M07
493,REP.A003_PC3_24H:M19
494,REP.A003_PC3_24H:N07
495,REP.A003_PC3_24H:P01
496,REP.A003_YAPC_24H:A13
497,REP.A003_YAPC_24H:A19
498,REP.A003_YAPC_24H:B07
499,REP.A003_YAPC_24H:D01
500,REP.A003_YAPC_24H:D13
501,REP.A003_YAPC_24H:F01
502,REP.A003_YAPC_24H:F13
503,REP.A003_YAPC_24H:G07
504,REP.A003_YAPC_24H:H07
505,REP.A003_YAPC_24H:H13
506,REP.A003_YAPC_24H:I01
507,REP.A003_YAPC_24H:J01
508,REP.A003_YAPC_24H:J07
509,REP.A003_YAPC_24H:J19
510,REP.A003_YAPC_24H:L01
511,REP.A003_YAPC_24H:L07
512,REP.A003_YAPC_24H:L13
513,REP.A003_YAPC_24H:M01
514,REP.A003_YAPC_24H:M07
515,REP.A003_YAPC_24H:M19
516,REP.A003_YAPC_24H:N07
517,REP.A003_YAPC_24H:K01
518,REP.A003_YAPC_24H:K13
519,REP.A003_YAPC_24H:P01
520,REP.A004_A375_24H:A07
521,REP.A004_A375_24H:A19
522,REP.A004_A375_24H:B07
523,REP.A004_A375_24H:B13
524,REP.A004_A375_24H:B19
525,REP.A004_A375_24H:C01
526,REP.A004_A375_24H:C07
527,REP.A004_A375_24H:D07
528,REP.A004_A375_24H:E01
529,REP.A004_A375_24H:E07
530,REP.A004_A375_24H:F01
531,REP.A004_A375_24H:F13
532,REP.A004_A375_24H:F19
533,REP.A004_A375_24H:G19
534,REP.A004_A375_24H:H07
535,REP.A004_A375_24H:H19
536,REP.A004_A375_24H:I01
537,REP.A004_A375_24H:K01
538,REP.A004_A375_24H:L01
539,REP.A004_A375_24H:L19
540,REP.A004_A375_24H:M13
541,REP.A004_A375_24H:N01
542,REP.A004_A375_24H:N13
543,REP.A004_A375_24H:O13
544,REP.A004_A375_24H:P07
545,REP.A004_A375_24H:P19
546,REP.A004_HA1E_24H:A07
547,REP.A004_HA1E_24H:A19
548,REP.A004_HA1E_24H:B07
549,REP.A004_HA1E_24H:B13
550,REP.A004_HA1E_24H:B19
551,REP.A004_HA1E_24H:C01
552,REP.A004_HA1E_24H:C07
553,REP.A004_HA1E_24H:D07
554,REP.A004_HA1E_24H:E01
555,REP.A004_HA1E_24H:E07
556,REP.A004_HA1E_24H:F01
557,REP.A004_HA1E_24H:F13
558,REP.A004_HA1E_24H:F19
559,REP.A004_HA1E_24H:G19
560,REP.A004_HA1E_24H:H07
561,REP.A004_HA1E_24H:H19
562,REP.A004_HA1E_24H:I01
563,REP.A004_HA1E_24H:K01
564,REP.A004_HA1E_24H:L01
565,REP.A004_HA1E_24H:L19
566,REP.A004_HA1E_24H:M13
567,REP.A004_HA1E_24H:N01
568,REP.A004_HA1E_24H:N13
569,REP.A004_HA1E_24H:O13
570,REP.A004_HA1E_24H:P07
571,REP.A004_HA1E_24H:P19
572,REP.A004_HA1E_24H:D13
573,REP.A004_HELA_24H:A07
574,REP.A004_HELA_24H:A19
575,REP.A004_HELA_24H:B07
576,REP.A004_HELA_24H:B13
577,REP.A004_HELA_24H:B19
578,REP.A004_HELA_24H:C01
579,REP.A004_HELA_24H:C07
580,REP.A004_HELA_24H:D07
581,REP.A004_HELA_24H:E01
582,REP.A004_HELA_24H:E07
583,REP.A004_HELA_24H:F01
584,REP.A004_HELA_24H:F13
585,REP.A004_HELA_24H:F19
586,REP.A004_HELA_24H:G19
587,REP.A004_HELA_24H:H07
588,REP.A004_HELA_24H:H19
589,REP.A004_HELA_24H:I01
590,REP.A004_HELA_24H:K01
591,REP.A004_HELA_24H:L01
592,REP.A004_HELA_24H:L19
593,REP.A004_HELA_24H:M13
594,REP.A004_HELA_24H:N01
595,REP.A004_HELA_24H:N13
596,REP.A004_HELA_24H:O13
597,REP.A004_HELA_24H:P07
598,REP.A004_HELA_24H:P19
599,REP.A004_HELA_24H:D13
600,REP.A004_HT29_24H:A07
601,REP.A004_HT29_24H:A19
602,REP.A004_HT29_24H:B07
603,REP.A004_HT29_24H:B13
604,REP.A004_HT29_24H:B19
605,REP.A004_HT29_24H:C01
606,REP.A004_HT29_24H:C07
607,REP.A004_HT29_24H:D07
608,REP.A004_HT29_24H:D13
609,REP.A004_HT29_24H:E01
610,REP.A004_HT29_24H:E07
611,REP.A004_HT29_24H:F01
612,REP.A004_HT29_24H:F19
613,REP.A004_HT29_24H:G19
614,REP.A004_HT29_24H:H07
615,REP.A004_HT29_24H:H19
616,REP.A004_HT29_24H:I01
617,REP.A004_HT29_24H:L01
618,REP.A004_HT29_24H:L19
619,REP.A004_HT29_24H:M13
620,REP.A004_HT29_24H:N01
621,REP.A004_HT29_24H:N13
622,REP.A004_HT29_24H:O13
623,REP.A004_HT29_24H:P07
624,REP.A004_HT29_24H:P19
625,REP.A004_HT29_24H:F13
626,REP.A004_HT29_24H:K01
627,REP.A004_MCF7_24H:A07
628,REP.A004_MCF7_24H:A19
629,REP.A004_MCF7_24H:B07
630,REP.A004_MCF7_24H:B13
631,REP.A004_MCF7_24H:B19
632,REP.A004_MCF7_24H:C01
633,REP.A004_MCF7_24H:C07
634,REP.A004_MCF7_24H:D07
635,REP.A004_MCF7_24H:D13
636,REP.A004_MCF7_24H:E01
637,REP.A004_MCF7_24H:E07
638,REP.A004_MCF7_24H:F01
639,REP.A004_MCF7_24H:F13
640,REP.A004_MCF7_24H:F19
641,REP.A004_MCF7_24H:G19
642,REP.A004_MCF7_24H:H07
643,REP.A004_MCF7_24H:H19
644,REP.A004_MCF7_24H:I01
645,REP.A004_MCF7_24H:L01
646,REP.A004_MCF7_24H:L19
647,REP.A004_MCF7_24H:M13
648,REP.A004_MCF7_24H:N01
649,REP.A004_MCF7_24H:N13
650,REP.A004_MCF7_24H:O13
651,REP.A004_MCF7_24H:P07
652,REP.A004_MCF7_24H:P19
653,REP.A004_MCF7_24H:K01
654,REP.A004_PC3_24H:A07
655,REP.A004_PC3_24H:A19
656,REP.A004_PC3_24H:B07
657,REP.A004_PC3_24H:B13
658,REP.A004_PC3_24H:B19
659,REP.A004_PC3_24H:C01
660,REP.A004_PC3_24H:C07
661,REP.A004_PC3_24H:D07
662,REP.A004_PC3_24H:D13
663,REP.A004_PC3_24H:E01
664,REP.A004_PC3_24H:E07
665,REP.A004_PC3_24H:F01
666,REP.A004_PC3_24H:F13
667,REP.A004_PC3_24H:F19
668,REP.A004_PC3_24H:G19
669,REP.A004_PC3_24H:H07
670,REP.A004_PC3_24H:H19
671,REP.A004_PC3_24H:I01
672,REP.A004_PC3_24H:K01
673,REP.A004_PC3_24H:L01
674,REP.A004_PC3_24H:L19
675,REP.A004_PC3_24H:M13
676,REP.A004_PC3_24H:N01
677,REP.A004_PC3_24H:N13
678,REP.A004_PC3_24H:O13
679,REP.A004_PC3_24H:P07
680,REP.A004_PC3_24H:P19
681,REP.A004_YAPC_24H:A07
682,REP.A004_YAPC_24H:A19
683,REP.A004_YAPC_24H:B07
684,REP.A004_YAPC_24H:B13
685,REP.A004_YAPC_24H:B19
686,REP.A004_YAPC_24H:C01
687,REP.A004_YAPC_24H:C07
688,REP.A004_YAPC_24H:D07
689,REP.A004_YAPC_24H:D13
690,REP.A004_YAPC_24H:E01
691,REP.A004_YAPC_24H:E07
692,REP.A004_YAPC_24H:F01
693,REP.A004_YAPC_24H:F13
694,REP.A004_YAPC_24H:F19
695,REP.A004_YAPC_24H:G19
696,REP.A004_YAPC_24H:H07
697,REP.A004_YAPC_24H:H19
698,REP.A004_YAPC_24H:I01
699,REP.A004_YAPC_24H:K01
700,REP.A004_YAPC_24H:L01
701,REP.A004_YAPC_24H:L19
702,REP.A004_YAPC_24H:M13
703,REP.A004_YAPC_24H:N01
704,REP.A004_YAPC_24H:N13
705,REP.A004_YAPC_24H:O13
706,REP.A004_YAPC_24H:P07
707,REP.A004_YAPC_24H:P19
708,REP.A005_A375_24H:A13
709,REP.A005_A375_24H:A19
710,REP.A005_A375_24H:B13
711,REP.A005_A375_24H:C07
712,REP.A005_A375_24H:C13
713,REP.A005_A375_24H:D07
714,REP.A005_A375_24H:D13
715,REP.A005_A375_24H:D19
716,REP.A005_A375_24H:E01
717,REP.A005_A375_24H:E07
718,REP.A005_A375_24H:E19
719,REP.A005_A375_24H:F01
720,REP.A005_A375_24H:F13
721,REP.A005_A375_24H:H19
722,REP.A005_A375_24H:I13
723,REP.A005_A375_24H:J01
724,REP.A005_A375_24H:J19
725,REP.A005_A375_24H:K19
726,REP.A005_A375_24H:L01
727,REP.A005_A375_24H:L07
728,REP.A005_A375_24H:L19
729,REP.A005_A375_24H:M07
730,REP.A005_A375_24H:N19
731,REP.A005_A375_24H:O07
732,REP.A005_A375_24H:P07
733,REP.A005_A375_24H:G19
734,REP.A005_HA1E_24H:A13
735,REP.A005_HA1E_24H:A19
736,REP.A005_HA1E_24H:B13
737,REP.A005_HA1E_24H:C07
738,REP.A005_HA1E_24H:C13
739,REP.A005_HA1E_24H:D07
740,REP.A005_HA1E_24H:D13
741,REP.A005_HA1E_24H:D19
742,REP.A005_HA1E_24H:E01
743,REP.A005_HA1E_24H:E07
744,REP.A005_HA1E_24H:E19
745,REP.A005_HA1E_24H:F01
746,REP.A005_HA1E_24H:F13
747,REP.A005_HA1E_24H:G19
748,REP.A005_HA1E_24H:H19
749,REP.A005_HA1E_24H:I13
750,REP.A005_HA1E_24H:J01
751,REP.A005_HA1E_24H:J19
752,REP.A005_HA1E_24H:K19
753,REP.A005_HA1E_24H:L01
754,REP.A005_HA1E_24H:L07
755,REP.A005_HA1E_24H:L19
756,REP.A005_HA1E_24H:M07
757,REP.A005_HA1E_24H:N19
758,REP.A005_HA1E_24H:O07
759,REP.A005_HA1E_24H:P07
760,REP.A005_HELA_24H:A13
761,REP.A005_HELA_24H:A19
762,REP.A005_HELA_24H:B13
763,REP.A005_HELA_24H:C07
764,REP.A005_HELA_24H:C13
765,REP.A005_HELA_24H:D07
